Username,Repo Name,Repo Link,Star
bitwarden,server,https://github.com/bitwarden/server,13500
dotnet,AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,12000
abpframework,abp,https://github.com/abpframework/abp,11700
aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,11400
nopSolutions,nopCommerce,https://github.com/nopSolutions/nopCommerce,8600
ElectronNET,Electron.NET,https://github.com/ElectronNET/Electron.NET,7000
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,6500
RicoSuter,NSwag,https://github.com/RicoSuter/NSwag,6100
FastEndpoints,FastEndpoints,https://github.com/FastEndpoints/FastEndpoints,3300
dotnet,aspnet-api-versioning,https://github.com/dotnet/aspnet-api-versioning,2800
