Username,Repo Name,Repo Link,Star
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,271000
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,177000
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,173000
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,168000
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,101000
kdn251,interviews,https://github.com/kdn251/interviews,60600
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,54700
azl397985856,leetcode,https://github.com/azl397985856/leetcode,52800
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,45200
krahets,hello-algo,https://github.com/krahets/hello-algo,45100
