Username,Repo Name,Repo Link,Star
amphp,amp,https://github.com/amphp/amp,4000
danog,MadelineProto,https://github.com/danog/MadelineProto,2500
unreal4u,telegram-api,https://github.com/unreal4u/telegram-api,767
amphp,parallel,https://github.com/amphp/parallel,700
amphp,http-client,https://github.com/amphp/http-client,668
amphp,byte-stream,https://github.com/amphp/byte-stream,348
php-service-bus,service-bus,https://github.com/php-service-bus/service-bus,347
amphp,mysql,https://github.com/amphp/mysql,329
amphp,parallel-functions,https://github.com/amphp/parallel-functions,249
amphp,process,https://github.com/amphp/process,218
