Username,Repo Name,Repo Link,Star
flutter,flutter,https://github.com/flutter/flutter,158000
facebook,react-native,https://github.com/facebook/react-native,113000
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,106000
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,93600
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,71000
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,49100
google,material-design-icons,https://github.com/google/material-design-icons,48900
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,47700
square,okhttp,https://github.com/square/okhttp,44700
android,architecture-samples,https://github.com/android/architecture-samples,43300
