Username,Repo Name,Repo Link,Star
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,106000
angular,angular,https://github.com/angular/angular,91700
storybookjs,storybook,https://github.com/storybookjs/storybook,80800
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,59700
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,49800
prettier,prettier,https://github.com/prettier/prettier,46900
Asabeneh,30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,39100
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,33800
angular,angular-cli,https://github.com/angular/angular-cli,26300
angular,components,https://github.com/angular/components,23800
