Username,Repo Name,Repo Link,Star
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,59400
ansible,ansible,https://github.com/ansible/ansible,59200
trailofbits,algo,https://github.com/trailofbits/algo,27800
MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,24200
StreisandEffect,streisand,https://github.com/StreisandEffect/streisand,23000
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,14700
ansible,awx,https://github.com/ansible/awx,12800
easzlab,kubeasz,https://github.com/easzlab/kubeasz,9600
ansible-semaphore,semaphore,https://github.com/ansible-semaphore/semaphore,8200
geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,7600
