Username,Repo Name,Repo Link,Star
arendst,Tasmota,https://github.com/arendst/Tasmota,20500
MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,15400
arduino,Arduino,https://github.com/arduino/Arduino,13800
tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,13600
rwaldron,johnny-five,https://github.com/rwaldron/johnny-five,13100
SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,12300
espressif,arduino-esp32,https://github.com/espressif/arduino-esp32,11600
gurugio,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,9000
hybridgroup,gobot,https://github.com/hybridgroup/gobot,8500
platformio,platformio-core,https://github.com/platformio/platformio-core,7100
